time,buy,sell
2017/6/22 16:29,"86,186","81,469"
2017/6/22 16:29,"86,186","81,469"
2017/6/22 16:29,"86,186","81,469"
2017/6/22 16:29,"86,186","81,469"
2017/6/22 16:29,"86,186","81,469"
2017/6/22 16:29,"86,186","81,469"
2017/6/22 16:29,"86,186","81,469"
2017/6/22 16:29,"86,186","81,469"
2017/6/22 16:29,"86,157","81,477"
2017/6/22 16:29,"86,157","81,477"
2017/6/22 16:29,"86,157","81,477"
2017/6/22 16:29,"86,157","81,477"
2017/6/22 16:30,"86,157","81,477"
2017/6/22 16:30,"86,157","81,477"
2017/6/22 16:30,"86,157","81,477"
2017/6/22 16:30,"86,157","81,477"
2017/6/22 16:30,"86,157","81,477"
2017/6/22 16:30,"86,157","81,477"
2017/6/22 16:30,"86,157","81,477"
2017/6/22 16:30,"86,157","81,477"
2017/6/22 16:30,"86,157","81,477"
2017/6/22 16:30,"86,157","81,477"
2017/6/22 16:30,"86,157","81,477"
2017/6/22 16:30,"86,157","81,477"
2017/6/22 16:30,"86,157","81,477"
2017/6/22 16:30,"86,157","81,477"
2017/6/22 16:30,"86,157","81,477"
2017/6/22 16:30,"86,157","81,477"
2017/6/22 16:30,"86,157","81,477"
2017/6/22 16:30,"86,157","81,477"
2017/6/22 16:30,"86,157","81,477"
2017/6/22 16:30,"86,157","81,477"
2017/6/22 16:30,"86,157","81,477"
2017/6/22 16:30,"86,157","81,477"
2017/6/22 16:30,"86,157","81,469"
2017/6/22 16:30,"86,157","81,469"
2017/6/22 16:30,"86,157","81,469"
2017/6/22 16:30,"86,157","81,469"
2017/6/22 16:31,"86,157","81,469"
2017/6/22 16:31,"86,157","81,469"
2017/6/22 16:31,"86,157","81,469"
2017/6/22 16:31,"86,157","81,469"
2017/6/22 16:31,"86,157","81,469"
2017/6/22 16:31,"86,157","81,469"
2017/6/22 16:31,"86,157","81,469"
2017/6/22 16:31,"86,157","81,469"
2017/6/22 16:31,"86,157","81,469"
2017/6/22 16:31,"86,157","81,469"
2017/6/22 16:31,"86,157","81,469"
2017/6/22 16:31,"86,157","81,469"
2017/6/22 16:31,"86,157","81,469"
2017/6/22 16:31,"86,157","81,469"
2017/6/22 16:31,"86,157","81,469"
2017/6/22 16:31,"86,157","81,469"
2017/6/22 16:31,"86,157","81,469"
2017/6/22 16:31,"86,157","81,469"
2017/6/22 16:31,"86,157","81,469"
2017/6/22 16:31,"86,157","81,469"
2017/6/22 16:31,"86,157","81,469"
2017/6/22 16:31,"86,157","81,469"
2017/6/22 16:31,"86,157","81,469"
2017/6/22 16:31,"86,037","81,261"
2017/6/22 16:31,"86,037","81,261"
2017/6/22 16:31,"86,037","81,261"
2017/6/22 16:31,"86,037","81,261"
2017/6/22 16:32,"86,037","81,261"
2017/6/22 16:32,"86,037","81,261"
2017/6/22 16:32,"86,037","81,261"
2017/6/22 16:32,"86,037","81,261"
2017/6/22 16:32,"86,037","81,261"
2017/6/22 16:32,"86,037","81,261"
2017/6/22 16:32,"86,037","81,261"
2017/6/22 16:32,"86,037","81,261"
2017/6/22 16:32,"86,037","81,261"
2017/6/22 16:32,"86,037","81,261"
2017/6/22 16:32,"86,037","81,261"
