time,buy,sell
2017-06-23 14:06:37,86818,82174
2017-06-23 14:06:39,86818,82174
2017-06-23 14:06:42,86818,82174
2017-06-23 14:06:44,86818,82174
2017-06-23 14:06:46,86818,82174
2017-06-23 14:06:48,86818,82174
2017-06-23 14:06:51,86818,82174
2017-06-23 14:06:53,86796,81893
2017-06-23 14:06:55,86796,81893
2017-06-23 14:06:57,86796,81893
2017-06-23 14:07:00,86796,81893
2017-06-23 14:07:02,86796,81893
2017-06-23 14:07:04,86796,81893
2017-06-23 14:07:06,86796,81893
2017-06-23 14:07:09,86796,81893
2017-06-23 14:07:11,86796,81893
2017-06-23 14:07:13,86796,81893
2017-06-23 14:07:15,86796,81893
2017-06-23 14:07:18,86796,81893
2017-06-23 14:07:20,86796,81893
2017-06-23 14:07:23,86796,81893
2017-06-23 14:07:25,86796,81893
2017-06-23 14:07:28,86796,81893
2017-06-23 14:07:30,86796,81893
2017-06-23 14:07:32,86796,81893
2017-06-23 14:07:35,86796,81893
2017-06-23 14:07:37,86796,81893
2017-06-23 14:07:39,86796,81893
2017-06-23 14:07:42,86796,81893
2017-06-23 14:07:44,86796,81893
2017-06-23 14:07:46,86796,81893
2017-06-23 14:07:48,86796,81893
2017-06-23 14:07:51,86796,81893
2017-06-23 14:07:53,86335,81890
2017-06-23 14:07:55,86335,81890
2017-06-23 14:07:58,86335,81890
2017-06-23 14:08:01,86335,81890
2017-06-23 14:08:03,86335,81890
2017-06-23 14:08:05,86335,81890
2017-06-23 14:08:07,86335,81890
2017-06-23 14:08:10,86335,81890
2017-06-23 14:08:12,86335,81890
2017-06-23 14:08:14,86335,81890
2017-06-23 14:08:16,86335,81890
2017-06-23 14:08:19,86335,81890
2017-06-23 14:08:21,86335,81890
2017-06-23 14:08:23,86335,81890
2017-06-23 14:08:26,86335,81890
2017-06-23 14:08:28,86335,81890
2017-06-23 14:08:30,86335,81890
2017-06-23 14:08:32,86335,81890
2017-06-23 14:08:35,86335,81890
2017-06-23 14:08:37,86335,81890
2017-06-23 14:08:39,86335,81890
2017-06-23 14:08:41,86335,81890
2017-06-23 14:08:44,86335,81890
2017-06-23 14:08:46,86335,81890
2017-06-23 14:08:48,86335,81890
2017-06-23 14:08:50,86335,81890
2017-06-23 14:08:53,86480,81904
2017-06-23 14:08:55,86480,81904
2017-06-23 14:08:57,86480,81904
2017-06-23 14:08:59,86480,81904
2017-06-23 14:09:02,86480,81904
2017-06-23 14:09:04,86480,81904
2017-06-23 14:09:06,86480,81904
2017-06-23 14:09:08,86480,81904
2017-06-23 14:09:11,86480,81904
2017-06-23 14:09:13,86480,81904
2017-06-23 14:09:16,86480,81904
2017-06-23 14:09:18,86480,81904
2017-06-23 14:09:20,86480,81904
2017-06-23 14:09:22,86480,81904
2017-06-23 14:09:25,86480,81904
2017-06-23 14:09:27,86480,81904
2017-06-23 14:09:29,86480,81904
2017-06-23 14:09:32,86480,81904
2017-06-23 14:09:34,86480,81904
2017-06-23 14:09:36,86480,81904
2017-06-23 14:09:38,86480,81904
2017-06-23 14:09:41,86480,81904
2017-06-23 14:09:43,86480,81904
2017-06-23 14:09:45,86480,81904
2017-06-23 14:09:48,86480,81904
2017-06-23 14:09:50,86480,81904
2017-06-23 14:09:52,86480,81904
2017-06-23 14:09:54,86480,81904
2017-06-23 14:09:57,86480,81904
2017-06-23 14:09:59,86480,81904
2017-06-23 14:10:01,86480,81904
2017-06-23 14:10:03,86480,81904
2017-06-23 14:10:06,86480,81904
2017-06-23 14:10:08,86480,81904
2017-06-23 14:10:10,86480,81904
2017-06-23 14:10:12,86480,81904
2017-06-23 14:10:15,86480,81904
2017-06-23 14:10:17,86480,81904
2017-06-23 14:10:19,86480,81904
2017-06-23 14:10:21,86480,81904
2017-06-23 14:10:24,86480,81904
2017-06-23 14:10:26,86480,81904
2017-06-23 14:10:28,86480,81904
2017-06-23 14:10:30,86480,81904
2017-06-23 14:10:33,86480,81904
2017-06-23 14:10:35,86480,81904
2017-06-23 14:10:37,86480,81904
2017-06-23 14:10:40,86480,81904
2017-06-23 14:10:42,86480,81904
2017-06-23 14:10:44,86480,81904
2017-06-23 14:10:46,86480,81904
2017-06-23 14:10:49,86480,81904
2017-06-23 14:10:51,86480,81904
2017-06-23 14:10:53,86480,81904
2017-06-23 14:10:55,86480,81904
2017-06-23 14:10:58,86480,81904
2017-06-23 14:11:00,86480,81904
2017-06-23 14:11:02,86480,81904
2017-06-23 14:11:04,86480,81904
2017-06-23 14:11:07,86480,81904
2017-06-23 14:11:09,86480,81904
2017-06-23 14:11:11,86480,81904
2017-06-23 14:11:13,86480,81904
2017-06-23 14:11:16,86480,81904
2017-06-23 14:11:18,86480,81904
2017-06-23 14:11:20,86480,81904
2017-06-23 14:11:22,86480,81904
2017-06-23 14:11:25,86480,81904
2017-06-23 14:11:27,86480,81904
2017-06-23 14:11:29,86480,81904
2017-06-23 14:11:31,86480,81904
2017-06-23 14:11:33,86480,81904
2017-06-23 14:11:36,86480,81904
2017-06-23 14:11:38,86480,81904
2017-06-23 14:11:40,86480,81904
2017-06-23 14:11:43,86480,81904
2017-06-23 14:11:46,86480,81904
2017-06-23 14:11:48,86480,81904
2017-06-23 14:11:50,86480,81904
2017-06-23 14:11:53,86568,81765
2017-06-23 14:11:55,86568,81765
2017-06-23 14:11:57,86568,81765
2017-06-23 14:11:59,86568,81765
2017-06-23 14:12:02,86568,81765
2017-06-23 14:12:04,86568,81765
2017-06-23 14:12:06,86568,81765
2017-06-23 14:12:08,86568,81765
2017-06-23 14:12:10,86568,81765
2017-06-23 14:12:13,86568,81765
2017-06-23 14:12:15,86568,81765
2017-06-23 14:12:17,86568,81765
2017-06-23 14:12:19,86568,81765
2017-06-23 14:12:22,86568,81765
2017-06-23 14:12:24,86568,81765
2017-06-23 14:12:26,86568,81765
2017-06-23 14:12:28,86568,81765
2017-06-23 14:12:31,86568,81765
2017-06-23 14:12:33,86568,81765
2017-06-23 14:12:35,86568,81765
2017-06-23 14:12:37,86568,81765
2017-06-23 14:12:40,86568,81765
2017-06-23 14:12:42,86568,81765
2017-06-23 14:12:44,86568,81765
2017-06-23 14:12:46,86568,81765
2017-06-23 14:12:49,86568,81765
2017-06-23 14:12:51,86419,81711
2017-06-23 14:12:53,86419,81711
2017-06-23 14:12:55,86419,81711
2017-06-23 14:12:58,86419,81711
2017-06-23 14:13:00,86419,81711
2017-06-23 14:13:02,86419,81711
2017-06-23 14:13:04,86419,81711
2017-06-23 14:13:07,86419,81711
2017-06-23 14:13:09,86419,81711
2017-06-23 14:13:11,86419,81711
2017-06-23 14:13:13,86419,81711
2017-06-23 14:13:16,86419,81711
2017-06-23 14:13:18,86419,81711
2017-06-23 14:13:20,86419,81711
2017-06-23 14:13:22,86419,81711
2017-06-23 14:13:25,86419,81711
2017-06-23 14:13:27,86419,81711
2017-06-23 14:13:29,86419,81711
2017-06-23 14:13:31,86419,81711
2017-06-23 14:13:34,86419,81711
2017-06-23 14:13:36,86419,81711
2017-06-23 14:13:38,86419,81711
2017-06-23 14:13:40,86419,81711
2017-06-23 14:13:42,86419,81711
2017-06-23 14:13:45,86419,81711
2017-06-23 14:13:47,86419,81711
2017-06-23 14:13:49,86419,81711
2017-06-23 14:13:52,86413,81506
2017-06-23 14:13:54,86413,81506
2017-06-23 14:13:56,86413,81506
2017-06-23 14:13:58,86413,81506
2017-06-23 14:14:02,86413,81506
2017-06-23 14:14:04,86413,81506
2017-06-23 14:14:06,86413,81506
2017-06-23 14:14:08,86413,81506
2017-06-23 14:14:11,86413,81506
2017-06-23 14:14:13,86413,81506
2017-06-23 14:14:15,86413,81506
2017-06-23 14:14:17,86413,81506
2017-06-23 14:14:20,86413,81506
2017-06-23 14:14:22,86413,81506
2017-06-23 14:14:24,86413,81506
2017-06-23 14:14:26,86413,81506
2017-06-23 14:14:28,86413,81506
2017-06-23 14:14:31,86413,81506
2017-06-23 14:14:33,86413,81506
2017-06-23 14:14:35,86413,81506
2017-06-23 14:14:37,86413,81506
2017-06-23 14:14:40,86413,81506
2017-06-23 14:14:42,86413,81506
2017-06-23 14:14:44,86413,81506
2017-06-23 14:14:46,86413,81506
2017-06-23 14:14:49,86413,81506
2017-06-23 14:14:51,86125,81561
2017-06-23 14:14:53,86125,81561
2017-06-23 14:14:56,86125,81561
2017-06-23 14:14:58,86125,81561
2017-06-23 14:15:00,86125,81561
2017-06-23 14:15:02,86125,81561
2017-06-23 14:15:05,86125,81561
2017-06-23 14:15:07,86125,81561
2017-06-23 14:15:09,86125,81561
2017-06-23 14:15:12,86125,81561
2017-06-23 14:15:14,86125,81561
2017-06-23 14:15:16,86125,81561
2017-06-23 14:15:19,86125,81561
2017-06-23 14:15:21,86125,81561
2017-06-23 14:15:23,86125,81561
2017-06-23 14:15:26,86125,81561
2017-06-23 14:15:28,86125,81561
2017-06-23 14:15:30,86125,81561
2017-06-23 14:15:32,86125,81561
2017-06-23 14:15:34,86125,81561
2017-06-23 14:15:38,86125,81561
2017-06-23 14:15:40,86125,81561
2017-06-23 14:15:42,86125,81561
2017-06-23 14:15:44,86125,81561
2017-06-23 14:15:47,86125,81561
2017-06-23 14:15:49,86125,81561
2017-06-23 14:15:51,86121,81534
2017-06-23 14:15:53,86121,81534
2017-06-23 14:15:55,86121,81534
2017-06-23 14:15:58,86121,81534
2017-06-23 14:16:00,86121,81534
2017-06-23 14:16:02,86121,81534
2017-06-23 14:16:04,86121,81534
2017-06-23 14:16:06,86121,81534
2017-06-23 14:16:09,86121,81534
2017-06-23 14:16:11,86121,81534
2017-06-23 14:16:13,86121,81534
2017-06-23 14:16:15,86121,81534
2017-06-23 14:16:18,86121,81534
2017-06-23 14:16:20,86121,81534
2017-06-23 14:16:22,86121,81534
2017-06-23 14:16:25,86121,81534
2017-06-23 14:16:27,86121,81534
2017-06-23 14:16:29,86121,81534
2017-06-23 14:16:31,86121,81534
2017-06-23 14:16:33,86121,81534
2017-06-23 14:16:36,86121,81534
2017-06-23 14:16:38,86121,81534
2017-06-23 14:16:40,86121,81534
2017-06-23 14:16:42,86121,81534
2017-06-23 14:16:45,86121,81534
2017-06-23 14:16:47,86121,81534
2017-06-23 14:16:49,86121,81534
2017-06-23 14:16:52,85998,81413
2017-06-23 14:16:55,85998,81413
2017-06-23 14:16:57,85998,81413
2017-06-23 14:16:59,85998,81413
2017-06-23 14:17:01,85998,81413
2017-06-23 14:17:04,85998,81413
2017-06-23 14:17:06,85998,81413
2017-06-23 14:17:08,85998,81413
2017-06-23 14:17:10,85998,81413
2017-06-23 14:17:12,85998,81413
2017-06-23 14:17:15,85998,81413
2017-06-23 14:17:17,85998,81413
2017-06-23 14:17:19,85998,81413
2017-06-23 14:17:22,85998,81413
2017-06-23 14:17:24,85998,81413
2017-06-23 14:17:26,85998,81413
2017-06-23 14:17:28,85998,81413
2017-06-23 14:17:30,85998,81413
2017-06-23 14:17:33,85998,81413
2017-06-23 14:17:35,85998,81413
2017-06-23 14:17:37,85998,81413
2017-06-23 14:17:39,85998,81413
2017-06-23 14:17:42,85998,81413
2017-06-23 14:17:44,85998,81413
2017-06-23 14:17:46,85998,81413
2017-06-23 14:17:49,85998,81413
2017-06-23 14:17:51,85998,81413
2017-06-23 14:17:53,86453,81738
2017-06-23 14:17:56,86453,81738
2017-06-23 14:17:58,86453,81738
2017-06-23 14:18:00,86453,81738
2017-06-23 14:18:02,86453,81738
2017-06-23 14:18:05,86453,81738
2017-06-23 14:18:07,86453,81738
2017-06-23 14:18:09,86453,81738
2017-06-23 14:18:11,86453,81738
2017-06-23 14:18:14,86453,81738
2017-06-23 14:18:16,86453,81738
2017-06-23 14:18:18,86453,81738
2017-06-23 14:18:21,86453,81738
2017-06-23 14:18:23,86453,81738
2017-06-23 14:18:25,86453,81738
2017-06-23 14:18:27,86453,81738
2017-06-23 14:18:30,86453,81738
2017-06-23 14:18:32,86453,81738
2017-06-23 14:18:34,86453,81738
2017-06-23 14:18:37,86453,81738
2017-06-23 14:18:39,86453,81738
2017-06-23 14:18:42,86453,81738
2017-06-23 14:18:44,86453,81738
2017-06-23 14:18:47,86453,81738
2017-06-23 14:18:49,86453,81738
2017-06-23 14:18:51,86452,81748
2017-06-23 14:18:53,86452,81748
2017-06-23 14:18:56,86452,81748
2017-06-23 14:18:58,86452,81748
2017-06-23 14:19:00,86452,81748
2017-06-23 14:19:03,86452,81748
2017-06-23 14:19:05,86452,81748
2017-06-23 14:19:07,86452,81748
2017-06-23 14:19:09,86452,81748
2017-06-23 14:19:12,86452,81748
2017-06-23 14:19:14,86452,81748
2017-06-23 14:19:16,86452,81748
2017-06-23 14:19:18,86452,81748
2017-06-23 14:19:21,86452,81748
2017-06-23 14:19:23,86452,81748
2017-06-23 14:19:25,86452,81748
2017-06-23 14:19:28,86452,81748
2017-06-23 14:19:30,86452,81748
2017-06-23 14:19:32,86452,81748
2017-06-23 14:19:34,86452,81748
2017-06-23 14:19:37,86452,81748
2017-06-23 14:19:39,86452,81748
2017-06-23 14:19:41,86452,81748
2017-06-23 14:19:43,86452,81748
2017-06-23 14:19:46,86452,81748
2017-06-23 14:19:48,86452,81748
2017-06-23 14:19:51,86452,81748
2017-06-23 14:19:53,86026,81534
2017-06-23 14:19:55,86026,81534
2017-06-23 14:19:58,86026,81534
2017-06-23 14:20:00,86026,81534
2017-06-23 14:20:02,86026,81534
2017-06-23 14:20:04,86026,81534
2017-06-23 14:20:07,86026,81534
2017-06-23 14:20:09,86026,81534
2017-06-23 14:20:11,86026,81534
2017-06-23 14:20:14,86026,81534
2017-06-23 14:20:16,86026,81534
2017-06-23 14:20:18,86026,81534
2017-06-23 14:20:20,86026,81534
2017-06-23 14:20:23,86026,81534
2017-06-23 14:20:26,86026,81534
2017-06-23 14:20:28,86026,81534
2017-06-23 14:20:30,86026,81534
2017-06-23 14:20:32,86026,81534
2017-06-23 14:20:35,86026,81534
2017-06-23 14:20:37,86026,81534
2017-06-23 14:20:39,86026,81534
2017-06-23 14:20:41,86026,81534
2017-06-23 14:20:44,86026,81534
2017-06-23 14:20:46,86026,81534
2017-06-23 14:20:48,86026,81534
2017-06-23 14:20:50,86026,81534
2017-06-23 14:20:53,86239,81586
2017-06-23 14:20:55,86239,81586
2017-06-23 14:20:57,86239,81586
2017-06-23 14:20:59,86239,81586
2017-06-23 14:21:01,86239,81586
2017-06-23 14:21:04,86239,81586
2017-06-23 14:21:06,86239,81586
2017-06-23 14:21:08,86239,81586
2017-06-23 14:21:10,86239,81586
2017-06-23 14:21:13,86239,81586
2017-06-23 14:21:15,86239,81586
2017-06-23 14:21:17,86239,81586
2017-06-23 14:21:20,86239,81586
2017-06-23 14:21:22,86239,81586
2017-06-23 14:21:24,86239,81586
2017-06-23 14:21:26,86239,81586
2017-06-23 14:21:28,86239,81586
2017-06-23 14:21:31,86239,81586
2017-06-23 14:21:33,86239,81586
2017-06-23 14:21:35,86239,81586
2017-06-23 14:21:37,86239,81586
2017-06-23 14:21:40,86239,81586
2017-06-23 14:21:42,86239,81586
2017-06-23 14:21:44,86239,81586
2017-06-23 14:21:46,86239,81586
2017-06-23 14:21:49,86239,81586
2017-06-23 14:21:51,86239,81586
2017-06-23 14:21:53,86239,81533
2017-06-23 14:21:55,86239,81533
2017-06-23 14:21:58,86239,81533
2017-06-23 14:22:00,86239,81533
2017-06-23 14:22:02,86239,81533
2017-06-23 14:22:05,86239,81533
2017-06-23 14:22:07,86239,81533
2017-06-23 14:22:09,86239,81533
2017-06-23 14:22:12,86239,81533
2017-06-23 14:22:14,86239,81533
2017-06-23 14:22:16,86239,81533
2017-06-23 14:22:18,86239,81533
2017-06-23 14:22:21,86239,81533
2017-06-23 14:22:23,86239,81533
2017-06-23 14:22:25,86239,81533
2017-06-23 14:22:28,86239,81533
2017-06-23 14:22:30,86239,81533
2017-06-23 14:22:32,86239,81533
2017-06-23 14:22:34,86239,81533
2017-06-23 14:22:37,86239,81533
