time,buy,sell
2017-06-28 17:34:39,83311,75833
2017-06-28 17:34:41,83311,75833
2017-06-28 17:34:43,83311,75833
2017-06-28 17:34:45,83311,75833
2017-06-28 17:34:47,83311,75833
2017-06-28 17:34:49,83311,75833
2017-06-28 17:34:52,83311,75833
2017-06-28 17:34:54,83311,75833
2017-06-28 17:34:56,83311,75833
2017-06-28 17:34:58,83311,75833
2017-06-28 17:35:00,83311,75833
2017-06-28 17:35:02,83311,75833
2017-06-28 17:35:04,83311,75833
2017-06-28 17:35:06,83311,75833
2017-06-28 17:35:08,83466,76248
2017-06-28 17:35:10,83466,76248
2017-06-28 17:35:12,83466,76248
2017-06-28 17:35:14,83466,76248
2017-06-28 17:35:16,83466,76248
2017-06-28 17:35:18,83466,76248
2017-06-28 17:35:20,83466,76248
2017-06-28 17:35:22,83466,76248
2017-06-28 17:35:24,83466,76248
2017-06-28 17:35:27,83466,76248
2017-06-28 17:35:29,83466,76248
2017-06-28 17:35:31,83466,76248
2017-06-28 17:35:33,83466,76248
2017-06-28 17:35:35,83466,76248
2017-06-28 17:35:37,83466,76248
2017-06-28 17:35:39,83466,76248
2017-06-28 17:35:41,83466,76248
2017-06-28 17:35:43,83466,76248
2017-06-28 17:35:45,83466,76248
2017-06-28 17:35:47,83466,76248
2017-06-28 17:35:49,83466,76248
2017-06-28 17:35:51,83466,76248
2017-06-28 17:35:53,83466,76248
2017-06-28 17:35:55,83466,76248
2017-06-28 17:35:57,83466,76248
2017-06-28 17:36:00,83466,76248
2017-06-28 17:36:02,83466,76248
2017-06-28 17:36:04,83466,76248
2017-06-28 17:36:06,83466,76248
2017-06-28 17:36:08,83528,76040
2017-06-28 17:36:10,83528,76040
2017-06-28 17:36:12,83528,76040
2017-06-28 17:36:14,83528,76040
2017-06-28 17:36:16,83528,76040
2017-06-28 17:36:18,83528,76040
2017-06-28 17:36:20,83528,76040
2017-06-28 17:36:22,83528,76040
2017-06-28 17:36:24,83528,76040
2017-06-28 17:36:26,83528,76040
2017-06-28 17:36:29,83528,76040
2017-06-28 17:36:31,83528,76040
2017-06-28 17:36:33,83528,76040
2017-06-28 17:36:35,83528,76040
2017-06-28 17:36:37,83528,76040
2017-06-28 17:36:39,83528,76040
2017-06-28 17:36:41,83528,76040
2017-06-28 17:36:43,83528,76040
2017-06-28 17:36:45,83528,76040
2017-06-28 17:36:47,83528,76040
2017-06-28 17:36:49,83528,76040
2017-06-28 17:36:51,83528,76040
2017-06-28 17:36:53,83528,76040
2017-06-28 17:36:55,83528,76040
2017-06-28 17:36:57,83528,76040
2017-06-28 17:36:59,83528,76040
2017-06-28 17:37:02,83528,76040
2017-06-28 17:37:04,83528,76040
2017-06-28 17:37:06,83528,76040
2017-06-28 17:37:08,83466,76221
2017-06-28 17:37:10,83466,76221
2017-06-28 17:37:12,83466,76221
2017-06-28 17:37:14,83466,76221
2017-06-28 17:37:16,83466,76221
2017-06-28 17:37:18,83466,76221
2017-06-28 17:37:20,83466,76221
2017-06-28 17:37:22,83466,76221
2017-06-28 17:37:24,83466,76221
2017-06-28 17:37:26,83466,76221
2017-06-28 17:37:28,83466,76221
2017-06-28 17:37:30,83466,76221
2017-06-28 17:37:32,83466,76221
2017-06-28 17:37:34,83466,76221
2017-06-28 17:37:37,83466,76221
2017-06-28 17:37:39,83466,76221
2017-06-28 17:37:41,83466,76221
2017-06-28 17:37:43,83466,76221
2017-06-28 17:37:45,83466,76221
2017-06-28 17:37:47,83466,76221
2017-06-28 17:37:49,83466,76221
2017-06-28 17:37:51,83466,76221
2017-06-28 17:37:53,83466,76221
2017-06-28 17:37:55,83466,76221
2017-06-28 17:37:57,83466,76221
2017-06-28 17:37:59,83466,76221
2017-06-28 17:38:01,83466,76221
2017-06-28 17:38:03,83466,76221
2017-06-28 17:38:05,83466,76221
2017-06-28 17:38:07,83466,76221
2017-06-28 17:38:09,83528,75209
2017-06-28 17:38:12,83528,75209
2017-06-28 17:38:14,83528,75209
2017-06-28 17:38:16,83528,75209
2017-06-28 17:38:18,83528,75209
2017-06-28 17:38:20,83528,75209
2017-06-28 17:38:22,83528,75209
2017-06-28 17:38:24,83528,75209
2017-06-28 17:38:26,83528,75209
2017-06-28 17:38:28,83528,75209
2017-06-28 17:38:30,83528,75209
2017-06-28 17:38:32,83528,75209
