time,buy,sell
2017-06-23 09:46:49,89744,82716
2017-06-23 09:46:51,89162,82384
2017-06-23 09:46:53,89162,82384
2017-06-23 09:46:55,89162,82384
2017-06-23 09:46:57,89162,82384
2017-06-23 09:46:59,89162,82384
2017-06-23 09:47:02,89162,82384
2017-06-23 09:47:04,89162,82384
2017-06-23 09:47:06,89162,82384
2017-06-23 09:47:08,89162,82384
2017-06-23 09:47:10,89162,82384
2017-06-23 09:47:12,89162,82384
2017-06-23 09:47:14,89162,82384
2017-06-23 09:47:16,89162,82384
2017-06-23 09:47:18,89162,82384
2017-06-23 09:47:20,89162,82384
2017-06-23 09:47:22,89162,82384
2017-06-23 09:47:24,89162,82384
2017-06-23 09:47:26,89162,82384
2017-06-23 09:47:28,89162,82384
2017-06-23 09:47:30,89162,82384
2017-06-23 09:47:32,89162,82384
2017-06-23 09:47:35,89162,82384
2017-06-23 09:47:37,89162,82384
2017-06-23 09:47:39,89162,82384
2017-06-23 09:47:41,89162,82384
2017-06-23 09:47:43,89162,82384
2017-06-23 09:47:45,89162,82384
2017-06-23 09:47:47,89162,82384
2017-06-23 09:47:49,89162,82384
2017-06-23 09:47:51,89674,82893
2017-06-23 09:47:53,89674,82893
2017-06-23 09:47:55,89674,82893
2017-06-23 09:47:57,89674,82893
2017-06-23 09:47:59,89674,82893
2017-06-23 09:48:01,89674,82893
2017-06-23 09:48:03,89674,82893
2017-06-23 09:48:06,89674,82893
2017-06-23 09:48:08,89674,82893
2017-06-23 09:48:10,89674,82893
2017-06-23 09:48:12,89674,82893
2017-06-23 09:48:14,89674,82893
2017-06-23 09:48:16,89674,82893
2017-06-23 09:48:18,89674,82893
2017-06-23 09:48:20,89674,82893
2017-06-23 09:48:22,89674,82893
2017-06-23 09:48:24,89674,82893
2017-06-23 09:48:26,89674,82893
2017-06-23 09:48:28,89674,82893
2017-06-23 09:48:31,89674,82893
2017-06-23 09:48:33,89674,82893
2017-06-23 09:48:35,89674,82893
2017-06-23 09:48:37,89674,82893
2017-06-23 09:48:39,89674,82893
2017-06-23 09:48:41,89674,82893
2017-06-23 09:48:43,89674,82893
2017-06-23 09:48:45,89674,82893
2017-06-23 09:48:47,89674,82893
2017-06-23 09:48:49,89674,82893
2017-06-23 09:48:51,89886,82951
2017-06-23 09:48:53,89886,82951
2017-06-23 09:48:55,89886,82951
2017-06-23 09:48:57,89886,82951
2017-06-23 09:48:59,89886,82951
2017-06-23 09:49:01,89886,82951
2017-06-23 09:49:04,89886,82951
2017-06-23 09:49:06,89886,82951
2017-06-23 09:49:08,89886,82951
2017-06-23 09:49:10,89886,82951
2017-06-23 09:49:12,89886,82951
2017-06-23 09:49:14,89886,82951
2017-06-23 09:49:16,89886,82951
2017-06-23 09:49:18,89886,82951
2017-06-23 09:49:20,89886,82951
2017-06-23 09:49:22,89886,82951
2017-06-23 09:49:24,89886,82951
2017-06-23 09:49:26,89886,82951
2017-06-23 09:49:28,89886,82951
2017-06-23 09:49:30,89886,82951
2017-06-23 09:49:32,89886,82951
2017-06-23 09:49:34,89886,82951
2017-06-23 09:49:37,89886,82951
2017-06-23 09:49:39,89886,82951
2017-06-23 09:49:41,89886,82951
2017-06-23 09:49:43,89886,82951
2017-06-23 09:49:45,89886,82951
2017-06-23 09:49:47,89886,82951
2017-06-23 09:49:49,89886,82951
2017-06-23 09:49:51,89881,82951
2017-06-23 09:49:53,89881,82951
2017-06-23 09:49:55,89881,82951
2017-06-23 09:49:57,89881,82951
2017-06-23 09:49:59,89881,82951
2017-06-23 09:50:01,89881,82951
2017-06-23 09:50:03,89881,82951
2017-06-23 09:50:06,89881,82951
2017-06-23 09:50:08,89881,82951
2017-06-23 09:50:10,89881,82951
2017-06-23 09:50:12,89881,82951
2017-06-23 09:50:14,89881,82951
2017-06-23 09:50:16,89881,82951
2017-06-23 09:50:18,89881,82951
2017-06-23 09:50:20,89881,82951
2017-06-23 09:50:22,89881,82951
2017-06-23 09:50:24,89881,82951
2017-06-23 09:50:26,89881,82951
2017-06-23 09:50:28,89881,82951
2017-06-23 09:50:30,89881,82951
2017-06-23 09:50:32,89881,82951
2017-06-23 09:50:34,89881,82951
2017-06-23 09:50:36,89881,82951
2017-06-23 09:50:39,89881,82951
2017-06-23 09:50:41,89881,82951
2017-06-23 09:50:43,89881,82951
2017-06-23 09:50:45,89881,82951
2017-06-23 09:50:47,89881,82951
2017-06-23 09:50:49,89881,82951
2017-06-23 09:50:51,90080,83201
2017-06-23 09:50:53,90080,83201
2017-06-23 09:50:55,90080,83201
2017-06-23 09:50:57,90080,83201
2017-06-23 09:50:59,90080,83201
2017-06-23 09:51:02,90080,83201
2017-06-23 09:51:04,90080,83201
2017-06-23 09:51:06,90080,83201
2017-06-23 09:51:08,90080,83201
2017-06-23 09:51:10,90080,83201
2017-06-23 09:51:12,90080,83201
2017-06-23 09:51:14,90080,83201
2017-06-23 09:51:16,90080,83201
2017-06-23 09:51:18,90080,83201
2017-06-23 09:51:20,90080,83201
2017-06-23 09:51:22,90080,83201
2017-06-23 09:51:24,90080,83201
