time,buy,sell
2017-06-26 08:18:03,88347,81096
2017-06-26 08:18:05,88347,81096
2017-06-26 08:18:07,88347,81096
2017-06-26 08:18:09,88347,81096
2017-06-26 08:18:11,88347,81096
2017-06-26 08:18:13,88347,81096
2017-06-26 08:18:15,88347,81096
2017-06-26 08:18:17,88347,81096
2017-06-26 08:18:20,88347,81096
2017-06-26 08:18:34,88316,81280
2017-06-26 08:18:36,88316,81280
2017-06-26 08:18:38,88316,81280
2017-06-26 08:18:40,88316,81280
2017-06-26 08:18:42,88316,81280
2017-06-26 08:18:44,88316,81280
2017-06-26 08:18:46,88316,81280
2017-06-26 08:18:48,88316,81280
2017-06-26 08:18:50,88316,81280
2017-06-26 08:18:52,88316,81280
2017-06-26 08:18:54,88316,81280
2017-06-26 08:18:56,88316,81280
2017-06-26 08:18:58,88316,81280
2017-06-26 08:19:00,88316,81280
2017-06-26 08:19:02,88316,81280
2017-06-26 08:19:04,88316,81280
2017-06-26 08:19:06,88316,81280
2017-06-26 08:19:08,88316,81280
2017-06-26 08:19:11,88316,81280
2017-06-26 08:19:13,88316,81280
2017-06-26 08:19:15,88316,81280
2017-06-26 08:19:17,88316,81280
2017-06-26 08:19:19,88316,81280
2017-06-26 08:19:21,88316,81280
2017-06-26 08:19:23,88347,81073
2017-06-26 08:19:25,88347,81073
2017-06-26 08:19:27,88347,81073
2017-06-26 08:19:29,88347,81073
2017-06-26 08:19:31,88347,81073
2017-06-26 08:19:33,88347,81073
2017-06-26 08:19:35,88347,81073
2017-06-26 08:19:37,88347,81073
2017-06-26 08:19:39,88347,81073
2017-06-26 08:19:41,88347,81073
2017-06-26 08:19:43,88347,81073
2017-06-26 08:19:46,88347,81073
2017-06-26 08:19:48,88347,81073
2017-06-26 08:19:50,88347,81073
2017-06-26 08:19:52,88347,81073
2017-06-26 08:19:54,88347,81073
2017-06-26 08:19:56,88347,81073
2017-06-26 08:19:58,88347,81073
2017-06-26 08:20:00,88347,81073
2017-06-26 08:20:02,88347,81073
2017-06-26 08:20:04,88347,81073
2017-06-26 08:20:06,88347,81073
2017-06-26 08:20:08,88347,81073
2017-06-26 08:20:10,88347,81073
2017-06-26 08:20:12,88347,81073
2017-06-26 08:20:14,88347,81073
2017-06-26 08:20:16,88347,81073
2017-06-26 08:20:19,88347,81073
2017-06-26 08:20:21,88347,81073
2017-06-26 08:20:23,88347,81198
2017-06-26 08:20:25,88347,81198
2017-06-26 08:20:27,88347,81198
2017-06-26 08:20:29,88347,81198
2017-06-26 08:20:31,88347,81198
2017-06-26 08:20:33,88347,81198
2017-06-26 08:20:35,88347,81198
2017-06-26 08:20:37,88347,81198
2017-06-26 08:20:39,88347,81198
2017-06-26 08:20:41,88347,81198
2017-06-26 08:20:43,88347,81198
2017-06-26 08:20:45,88347,81198
2017-06-26 08:20:47,88347,81198
2017-06-26 08:20:49,88347,81198
2017-06-26 08:20:51,88347,81198
2017-06-26 08:20:54,88347,81198
2017-06-26 08:20:56,88347,81198
2017-06-26 08:20:58,88347,81198
2017-06-26 08:21:00,88347,81198
2017-06-26 08:21:02,88347,81198
2017-06-26 08:21:04,88347,81198
2017-06-26 08:21:06,88347,81198
2017-06-26 08:21:08,88347,81198
2017-06-26 08:21:10,88347,81198
2017-06-26 08:21:12,88347,81198
2017-06-26 08:21:14,88347,81198
2017-06-26 08:21:16,88347,81198
2017-06-26 08:21:18,88347,81198
2017-06-26 08:21:20,88347,81198
2017-06-26 08:21:22,88149,81073
2017-06-26 08:21:24,88149,81073
2017-06-26 08:21:26,88149,81073
2017-06-26 08:21:28,88149,81073
2017-06-26 08:21:31,88149,81073
2017-06-26 08:21:33,88149,81073
2017-06-26 08:21:35,88149,81073
2017-06-26 08:21:37,88149,81073
2017-06-26 08:21:39,88149,81073
2017-06-26 08:21:41,88149,81073
2017-06-26 08:21:43,88149,81073
2017-06-26 08:21:45,88149,81073
2017-06-26 08:21:47,88149,81073
2017-06-26 08:21:49,88149,81073
2017-06-26 08:21:51,88149,81073
2017-06-26 08:21:53,88149,81073
2017-06-26 08:21:55,88149,81073
2017-06-26 08:21:57,88149,81073
2017-06-26 08:21:59,88149,81073
2017-06-26 08:22:01,88149,81073
2017-06-26 08:22:03,88149,81073
2017-06-26 08:22:06,88149,81073
2017-06-26 08:22:08,88149,81073
2017-06-26 08:22:10,88149,81073
2017-06-26 08:22:12,88149,81073
2017-06-26 08:22:14,88149,81073
2017-06-26 08:22:16,88149,81073
2017-06-26 08:22:18,88149,81073
2017-06-26 08:22:20,88149,81073
2017-06-26 08:22:22,88149,81073
2017-06-26 08:22:24,88194,80876
2017-06-26 08:22:26,88194,80876
2017-06-26 08:22:28,88194,80876
2017-06-26 08:22:30,88194,80876
2017-06-26 08:22:32,88194,80876
2017-06-26 08:22:34,88194,80876
2017-06-26 08:22:36,88194,80876
2017-06-26 08:22:38,88194,80876
2017-06-26 08:22:40,88194,80876
2017-06-26 08:22:42,88194,80876
2017-06-26 08:22:44,88194,80876
2017-06-26 08:22:47,88194,80876
2017-06-26 08:22:49,88194,80876
2017-06-26 08:22:51,88194,80876
2017-06-26 08:22:53,88194,80876
2017-06-26 08:22:55,88194,80876
2017-06-26 08:22:57,88194,80876
2017-06-26 08:22:59,88194,80876
2017-06-26 08:23:01,88194,80876
2017-06-26 08:23:03,88194,80876
2017-06-26 08:23:05,88194,80876
2017-06-26 08:23:07,88194,80876
2017-06-26 08:23:09,88194,80876
2017-06-26 08:23:11,88194,80876
2017-06-26 08:23:13,88194,80876
2017-06-26 08:23:15,88194,80876
2017-06-26 08:23:17,88194,80876
2017-06-26 08:23:19,88194,80876
2017-06-26 08:23:22,88165,80866
2017-06-26 08:23:24,88165,80866
2017-06-26 08:23:26,88165,80866
2017-06-26 08:23:28,88165,80866
2017-06-26 08:23:30,88165,80866
2017-06-26 08:23:32,88165,80866
2017-06-26 08:23:34,88165,80866
2017-06-26 08:23:36,88165,80866
2017-06-26 08:23:38,88165,80866
2017-06-26 08:23:40,88165,80866
2017-06-26 08:23:42,88165,80866
2017-06-26 08:23:44,88165,80866
2017-06-26 08:23:46,88165,80866
2017-06-26 08:23:48,88165,80866
2017-06-26 08:23:50,88165,80866
2017-06-26 08:23:52,88165,80866
2017-06-26 08:23:54,88165,80866
2017-06-26 08:23:56,88165,80866
2017-06-26 08:23:58,88165,80866
2017-06-26 08:24:01,88165,80866
2017-06-26 08:24:03,88165,80866
2017-06-26 08:24:05,88165,80866
2017-06-26 08:24:07,88165,80866
2017-06-26 08:24:09,88165,80866
2017-06-26 08:24:11,88165,80866
2017-06-26 08:24:13,88165,80866
2017-06-26 08:24:15,88165,80866
2017-06-26 08:24:17,88165,80866
2017-06-26 08:24:19,88165,80866
2017-06-26 08:24:21,88165,80866
2017-06-26 08:24:23,88041,80469
2017-06-26 08:24:25,88041,80469
2017-06-26 08:24:27,88041,80469
2017-06-26 08:24:29,88041,80469
2017-06-26 08:24:31,88041,80469
2017-06-26 08:24:33,88041,80469
2017-06-26 08:24:36,88041,80469
2017-06-26 08:24:38,88041,80469
2017-06-26 08:24:40,88041,80469
2017-06-26 08:24:42,88041,80469
2017-06-26 08:24:44,88041,80469
2017-06-26 08:24:46,88041,80469
2017-06-26 08:24:48,88041,80469
2017-06-26 08:24:50,88041,80469
2017-06-26 08:24:52,88041,80469
2017-06-26 08:24:54,88041,80469
2017-06-26 08:24:56,88041,80469
2017-06-26 08:24:58,88041,80469
2017-06-26 08:25:00,88041,80469
2017-06-26 08:25:03,88041,80469
2017-06-26 08:25:05,88041,80469
2017-06-26 08:25:07,88041,80469
2017-06-26 08:25:09,88041,80469
2017-06-26 08:25:11,88041,80469
2017-06-26 08:25:13,88041,80469
2017-06-26 08:25:15,88041,80469
2017-06-26 08:25:17,88041,80469
2017-06-26 08:25:19,88041,80469
2017-06-26 08:25:21,88041,80469
2017-06-26 08:25:23,88165,80865
2017-06-26 08:25:25,88165,80865
2017-06-26 08:25:27,88165,80865
2017-06-26 08:25:29,88165,80865
2017-06-26 08:25:31,88165,80865
2017-06-26 08:25:33,88165,80865
2017-06-26 08:25:35,88165,80865
2017-06-26 08:25:38,88165,80865
2017-06-26 08:25:40,88165,80865
2017-06-26 08:25:42,88165,80865
2017-06-26 08:25:44,88165,80865
2017-06-26 08:25:46,88165,80865
2017-06-26 08:25:48,88165,80865
2017-06-26 08:25:50,88165,80865
2017-06-26 08:25:52,88165,80865
2017-06-26 08:25:54,88165,80865
2017-06-26 08:25:56,88165,80865
2017-06-26 08:25:58,88165,80865
2017-06-26 08:26:00,88165,80865
2017-06-26 08:26:02,88165,80865
2017-06-26 08:26:05,88165,80865
2017-06-26 08:26:07,88165,80865
2017-06-26 08:26:09,88165,80865
2017-06-26 08:26:11,88165,80865
2017-06-26 08:26:13,88165,80865
2017-06-26 08:26:15,88165,80865
2017-06-26 08:26:17,88165,80865
2017-06-26 08:26:19,88165,80865
2017-06-26 08:26:21,88165,80865
2017-06-26 08:26:23,88225,80451
2017-06-26 08:26:25,88225,80451
2017-06-26 08:26:27,88225,80451
2017-06-26 08:26:29,88225,80451
2017-06-26 08:26:31,88225,80451
2017-06-26 08:26:33,88225,80451
2017-06-26 08:26:35,88225,80451
2017-06-26 08:26:37,88225,80451
2017-06-26 08:26:40,88225,80451
2017-06-26 08:26:42,88225,80451
2017-06-26 08:26:44,88225,80451
2017-06-26 08:26:46,88225,80451
2017-06-26 08:26:48,88225,80451
2017-06-26 08:26:50,88225,80451
2017-06-26 08:26:52,88225,80451
2017-06-26 08:26:54,88225,80451
2017-06-26 08:26:56,88225,80451
2017-06-26 08:26:58,88225,80451
2017-06-26 08:27:00,88225,80451
2017-06-26 08:27:02,88225,80451
2017-06-26 08:27:04,88225,80451
2017-06-26 08:27:06,88225,80451
2017-06-26 08:27:08,88225,80451
2017-06-26 08:27:10,88225,80451
2017-06-26 08:27:12,88225,80451
2017-06-26 08:27:15,88225,80451
2017-06-26 08:27:17,88225,80451
2017-06-26 08:27:19,88225,80451
2017-06-26 08:27:21,88225,80451
2017-06-26 08:27:23,87888,80866
2017-06-26 08:27:25,87888,80866
2017-06-26 08:27:27,87888,80866
2017-06-26 08:27:29,87888,80866
2017-06-26 08:27:31,87888,80866
2017-06-26 08:27:33,87888,80866
2017-06-26 08:27:35,87888,80866
2017-06-26 08:27:37,87888,80866
2017-06-26 08:27:39,87888,80866
2017-06-26 08:27:41,87888,80866
2017-06-26 08:27:43,87888,80866
2017-06-26 08:27:46,87888,80866
2017-06-26 08:27:48,87888,80866
2017-06-26 08:27:50,87888,80866
2017-06-26 08:27:52,87888,80866
2017-06-26 08:27:54,87888,80866
2017-06-26 08:27:56,87888,80866
2017-06-26 08:27:58,87888,80866
2017-06-26 08:28:00,87888,80866
2017-06-26 08:28:02,87888,80866
2017-06-26 08:28:04,87888,80866
2017-06-26 08:28:06,87888,80866
2017-06-26 08:28:08,87888,80866
2017-06-26 08:28:10,87888,80866
2017-06-26 08:28:12,87888,80866
2017-06-26 08:28:14,87888,80866
2017-06-26 08:28:16,87888,80866
2017-06-26 08:28:18,87888,80866
2017-06-26 08:28:20,87888,80866
2017-06-26 08:28:22,87680,80658
2017-06-26 08:28:25,87680,80658
2017-06-26 08:28:27,87680,80658
2017-06-26 08:28:29,87680,80658
2017-06-26 08:28:31,87680,80658
2017-06-26 08:28:33,87680,80658
2017-06-26 08:28:35,87680,80658
2017-06-26 08:28:37,87680,80658
2017-06-26 08:28:39,87680,80658
2017-06-26 08:28:41,87680,80658
2017-06-26 08:28:43,87680,80658
2017-06-26 08:28:45,87680,80658
2017-06-26 08:28:47,87680,80658
2017-06-26 08:28:49,87680,80658
2017-06-26 08:28:51,87680,80658
2017-06-26 08:28:53,87680,80658
2017-06-26 08:28:55,87680,80658
2017-06-26 08:28:57,87680,80658
2017-06-26 08:29:00,87680,80658
2017-06-26 08:29:02,87680,80658
2017-06-26 08:29:04,87680,80658
2017-06-26 08:29:06,87680,80658
2017-06-26 08:29:08,87680,80658
2017-06-26 08:29:10,87680,80658
2017-06-26 08:29:12,87680,80658
2017-06-26 08:29:14,87680,80658
2017-06-26 08:29:16,87680,80658
2017-06-26 08:29:18,87680,80658
2017-06-26 08:29:20,87680,80658
2017-06-26 08:29:22,87943,80865
2017-06-26 08:29:24,87943,80865
2017-06-26 08:29:26,87943,80865
2017-06-26 08:29:28,87943,80865
2017-06-26 08:29:30,87943,80865
2017-06-26 08:29:33,87943,80865
2017-06-26 08:29:35,87943,80865
2017-06-26 08:29:37,87943,80865
2017-06-26 08:29:39,87943,80865
2017-06-26 08:29:41,87943,80865
2017-06-26 08:29:43,87943,80865
2017-06-26 08:29:45,87943,80865
2017-06-26 08:29:47,87943,80865
2017-06-26 08:29:49,87943,80865
2017-06-26 08:29:51,87943,80865
2017-06-26 08:29:53,87943,80865
2017-06-26 08:29:55,87943,80865
2017-06-26 08:29:57,87943,80865
2017-06-26 08:29:59,87943,80865
2017-06-26 08:30:01,87943,80865
2017-06-26 08:30:03,87943,80865
2017-06-26 08:30:06,87943,80865
2017-06-26 08:30:08,87943,80865
2017-06-26 08:30:10,87943,80865
2017-06-26 08:30:12,87943,80865
2017-06-26 08:30:14,87943,80865
2017-06-26 08:30:16,87943,80865
2017-06-26 08:30:18,87943,80865
2017-06-26 08:30:20,87943,80865
2017-06-26 08:30:22,87943,80838
2017-06-26 08:30:24,87943,80838
2017-06-26 08:30:26,87943,80838
2017-06-26 08:30:28,87943,80838
2017-06-26 08:30:30,87943,80838
2017-06-26 08:30:32,87943,80838
2017-06-26 08:30:34,87943,80838
2017-06-26 08:30:36,87943,80838
2017-06-26 08:30:38,87943,80838
2017-06-26 08:30:41,87943,80838
2017-06-26 08:30:43,87943,80838
2017-06-26 08:30:45,87943,80838
2017-06-26 08:30:47,87943,80838
2017-06-26 08:30:49,87943,80838
2017-06-26 08:30:51,87943,80838
2017-06-26 08:30:53,87943,80838
2017-06-26 08:30:55,87943,80838
2017-06-26 08:30:57,87943,80838
2017-06-26 08:30:59,87943,80838
2017-06-26 08:31:01,87943,80838
2017-06-26 08:31:03,87943,80838
2017-06-26 08:31:05,87943,80838
2017-06-26 08:31:07,87943,80838
2017-06-26 08:31:09,87943,80838
2017-06-26 08:31:11,87943,80838
2017-06-26 08:31:13,87943,80838
2017-06-26 08:31:15,87943,80838
2017-06-26 08:31:18,87943,80838
2017-06-26 08:31:20,87943,80838
2017-06-26 08:31:22,87722,80658
2017-06-26 08:31:24,87722,80658
2017-06-26 08:31:26,87722,80658
2017-06-26 08:31:28,87722,80658
2017-06-26 08:31:30,87722,80658
2017-06-26 08:31:32,87722,80658
2017-06-26 08:31:34,87722,80658
2017-06-26 08:31:36,87722,80658
2017-06-26 08:31:38,87722,80658
2017-06-26 08:31:40,87722,80658
2017-06-26 08:31:42,87722,80658
2017-06-26 08:31:44,87722,80658
2017-06-26 08:31:46,87722,80658
2017-06-26 08:31:48,87722,80658
2017-06-26 08:31:50,87722,80658
2017-06-26 08:31:53,87722,80658
2017-06-26 08:31:55,87722,80658
2017-06-26 08:31:57,87722,80658
2017-06-26 08:31:59,87722,80658
2017-06-26 08:32:01,87722,80658
2017-06-26 08:32:03,87722,80658
2017-06-26 08:32:05,87722,80658
2017-06-26 08:32:07,87722,80658
2017-06-26 08:32:09,87722,80658
2017-06-26 08:32:11,87722,80658
2017-06-26 08:32:13,87722,80658
2017-06-26 08:32:15,87722,80658
2017-06-26 08:32:17,87722,80658
2017-06-26 08:32:19,87722,80658
2017-06-26 08:32:21,87722,80658
2017-06-26 08:32:23,87722,80451
2017-06-26 08:32:25,87722,80451
2017-06-26 08:32:27,87722,80451
2017-06-26 08:32:30,87722,80451
2017-06-26 08:32:32,87722,80451
2017-06-26 08:32:34,87722,80451
2017-06-26 08:32:36,87722,80451
2017-06-26 08:32:38,87722,80451
2017-06-26 08:32:40,87722,80451
2017-06-26 08:32:42,87722,80451
2017-06-26 08:32:44,87722,80451
2017-06-26 08:32:46,87722,80451
2017-06-26 08:32:48,87722,80451
2017-06-26 08:32:50,87722,80451
2017-06-26 08:32:52,87722,80451
2017-06-26 08:32:54,87722,80451
2017-06-26 08:32:56,87722,80451
2017-06-26 08:32:58,87722,80451
2017-06-26 08:33:00,87722,80451
2017-06-26 08:33:02,87722,80451
2017-06-26 08:33:04,87722,80451
2017-06-26 08:33:07,87722,80451
2017-06-26 08:33:09,87722,80451
2017-06-26 08:33:11,87722,80451
2017-06-26 08:33:13,87722,80451
2017-06-26 08:33:15,87722,80451
2017-06-26 08:33:17,87722,80451
2017-06-26 08:33:19,87722,80451
2017-06-26 08:33:21,87722,80451
2017-06-26 08:33:23,87828,80177
2017-06-26 08:33:25,87828,80177
2017-06-26 08:33:27,87828,80177
2017-06-26 08:33:29,87828,80177
2017-06-26 08:33:31,87828,80177
2017-06-26 08:33:33,87828,80177
2017-06-26 08:33:35,87828,80177
2017-06-26 08:33:37,87828,80177
2017-06-26 08:33:39,87828,80177
2017-06-26 08:33:41,87828,80177
2017-06-26 08:33:44,87828,80177
2017-06-26 08:33:46,87828,80177
2017-06-26 08:33:48,87828,80177
2017-06-26 08:33:50,87828,80177
2017-06-26 08:33:52,87828,80177
2017-06-26 08:33:54,87828,80177
2017-06-26 08:33:56,87828,80177
2017-06-26 08:33:58,87828,80177
2017-06-26 08:34:00,87828,80177
2017-06-26 08:34:02,87828,80177
2017-06-26 08:34:04,87828,80177
2017-06-26 08:34:06,87828,80177
2017-06-26 08:34:08,87828,80177
2017-06-26 08:34:10,87828,80177
2017-06-26 08:34:12,87828,80177
2017-06-26 08:34:14,87828,80177
2017-06-26 08:34:16,87828,80177
2017-06-26 08:34:19,87828,80177
2017-06-26 08:34:21,87828,80177
2017-06-26 08:34:23,87643,80176
2017-06-26 08:34:25,87643,80176
2017-06-26 08:34:27,87643,80176
2017-06-26 08:34:29,87643,80176
2017-06-26 08:34:31,87643,80176
2017-06-26 08:34:33,87643,80176
2017-06-26 08:34:35,87643,80176
2017-06-26 08:34:37,87643,80176
2017-06-26 08:34:39,87643,80176
2017-06-26 08:34:41,87643,80176
2017-06-26 08:34:43,87643,80176
2017-06-26 08:34:45,87643,80176
2017-06-26 08:34:47,87643,80176
2017-06-26 08:34:49,87643,80176
2017-06-26 08:34:51,87643,80176
2017-06-26 08:34:53,87643,80176
